"","Site","NetType","NetTypeRep","Rep","DebitL","PartType","Polymer","Count","PPML1","Salinity"
"88","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polypropylene",NA,NA,"BContrecœur"
"89","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Nylon",NA,NA,"BContrecœur"
"90","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polystyrene",NA,NA,"BContrecœur"
"91","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyethylene+Polypropylene",NA,NA,"BContrecœur"
"92","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyvinyl acetate",NA,NA,"BContrecœur"
"93","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyvinyl acrylate",NA,NA,"BContrecœur"
"94","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Poly(acrylate-styrene)",NA,NA,"BContrecœur"
"95","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyacrylonitrile",NA,NA,"BContrecœur"
"96","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Ethylene vinyl acetate",NA,NA,"BContrecœur"
"97","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyether urethane",NA,NA,"BContrecœur"
"98","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyvinyl Chloride",NA,NA,"BContrecœur"
"99","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Poly(chloroprene)",NA,NA,"BContrecœur"
"100","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Poly(methyl methacrylate)",NA,NA,"BContrecœur"
"101","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Polyethylacrylate",NA,NA,"BContrecœur"
"102","BContrecœur","Polym","Polymer-1","1",104393,"Sphere","Silicone",NA,NA,"BContrecœur"
"103","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyethylene",NA,NA,"BContrecœur"
"104","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyester",NA,NA,"BContrecœur"
"105","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polypropylene",NA,NA,"BContrecœur"
"106","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Nylon",NA,NA,"BContrecœur"
"107","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polystyrene",1,16.0751028806584,"BContrecœur"
"108","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyethylene+Polypropylene",NA,NA,"BContrecœur"
"109","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyvinyl acetate",NA,NA,"BContrecœur"
"110","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyvinyl acrylate",NA,NA,"BContrecœur"
"111","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Poly(acrylate-styrene)",NA,NA,"BContrecœur"
"112","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyacrylonitrile",NA,NA,"BContrecœur"
"113","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Ethylene vinyl acetate",NA,NA,"BContrecœur"
"114","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyether urethane",NA,NA,"BContrecœur"
"115","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyvinyl Chloride",NA,NA,"BContrecœur"
"116","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Poly(chloroprene)",NA,NA,"BContrecœur"
"117","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Poly(methyl methacrylate)",NA,NA,"BContrecœur"
"118","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Polyethylacrylate",NA,NA,"BContrecœur"
"119","BContrecœur","Polym","Polymer-2","2",124416,"Sphere","Silicone",NA,NA,"BContrecœur"
"120","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyethylene",NA,NA,"CSorel"
"121","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyester",NA,NA,"CSorel"
"122","CSorel","Manta","Manta-1","1",198888,"Sphere","Polypropylene",NA,NA,"CSorel"
"123","CSorel","Manta","Manta-1","1",198888,"Sphere","Nylon",NA,NA,"CSorel"
"124","CSorel","Manta","Manta-1","1",198888,"Sphere","Polystyrene",NA,NA,"CSorel"
"125","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"126","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"127","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"128","CSorel","Manta","Manta-1","1",198888,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"129","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"130","CSorel","Manta","Manta-1","1",198888,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"131","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyether urethane",NA,NA,"CSorel"
"132","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"133","CSorel","Manta","Manta-1","1",198888,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"134","CSorel","Manta","Manta-1","1",198888,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"135","CSorel","Manta","Manta-1","1",198888,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"136","CSorel","Manta","Manta-1","1",198888,"Sphere","Silicone",NA,NA,"CSorel"
"137","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyethylene",NA,NA,"CSorel"
"138","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyester",NA,NA,"CSorel"
"139","CSorel","Manta","Manta-2","2",224640,"Sphere","Polypropylene",NA,NA,"CSorel"
"140","CSorel","Manta","Manta-2","2",224640,"Sphere","Nylon",NA,NA,"CSorel"
"141","CSorel","Manta","Manta-2","2",224640,"Sphere","Polystyrene",NA,NA,"CSorel"
"142","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"143","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"144","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"145","CSorel","Manta","Manta-2","2",224640,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"146","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"147","CSorel","Manta","Manta-2","2",224640,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"148","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyether urethane",NA,NA,"CSorel"
"149","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"150","CSorel","Manta","Manta-2","2",224640,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"151","CSorel","Manta","Manta-2","2",224640,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"152","CSorel","Manta","Manta-2","2",224640,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"153","CSorel","Manta","Manta-2","2",224640,"Sphere","Silicone",NA,NA,"CSorel"
"154","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyethylene",NA,NA,"CSorel"
"155","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyester",NA,NA,"CSorel"
"156","CSorel","Manta","Manta-3","3",200208,"Sphere","Polypropylene",NA,NA,"CSorel"
"157","CSorel","Manta","Manta-3","3",200208,"Sphere","Nylon",NA,NA,"CSorel"
"158","CSorel","Manta","Manta-3","3",200208,"Sphere","Polystyrene",NA,NA,"CSorel"
"159","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"160","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"161","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"162","CSorel","Manta","Manta-3","3",200208,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"163","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"164","CSorel","Manta","Manta-3","3",200208,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"165","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyether urethane",NA,NA,"CSorel"
"166","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"167","CSorel","Manta","Manta-3","3",200208,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"168","CSorel","Manta","Manta-3","3",200208,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"169","CSorel","Manta","Manta-3","3",200208,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"170","CSorel","Manta","Manta-3","3",200208,"Sphere","Silicone",NA,NA,"CSorel"
"171","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyethylene",NA,NA,"CSorel"
"172","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyester",NA,NA,"CSorel"
"173","CSorel","Manta","Manta-4","4",205200,"Sphere","Polypropylene",NA,NA,"CSorel"
"174","CSorel","Manta","Manta-4","4",205200,"Sphere","Nylon",NA,NA,"CSorel"
"175","CSorel","Manta","Manta-4","4",205200,"Sphere","Polystyrene",1,9.74658869395711,"CSorel"
